name;code;value;date
﻿bat (Tajlandia);THB;0.1256;2021-03-19
dolar amerykański;USD;3.3333;2021-03-19
dolar australijski;AUD;3.1273;2021-03-19
dolar Hongkongu;HKD;0.4981;2021-03-19
dolar kanadyjski;CAD;3.1017;2021-03-19
dolar nowozelandzki;NZD;2.1235;2021-03-19
dolar singapurski;SGD;1210475;2021-03-19
euro;EUR;4.1111;2021-03-19
forint (Węgry);HUF;0.0125;2021-03-19
frank szwajcarski;CHF;4.1754;2021-03-19
funt szterling;GBP;5.5555;2021-03-19
hrywna (Ukraina);UAH;0.1395;2021-03-19
jen (Japonia);JPY;0.0354;2021-03-19
korona czeska;CZK;0.1760;2021-03-19
korona duńska;DKK;0.6194;2021-03-19
korona islandzka;ISK;0.0303;2021-03-19
korona norweska;NOK;0.4560;2021-03-19
korona szwedzka;SEK;0.4544;2021-03-19
kuna (Chorwacja);HRK;0.6079;2021-03-19
lej rumu�ski;RON;0.9423;2021-03-19
lew (Bułgaria);BGN;603413;2021-03-19
lira turecka;TRY;0.5156;2021-03-19
nowy izraelski szekel;ILS;1.1756;2021-03-19
peso chilijskie;CLP;0.0053;2021-03-19
peso filipińskie;PHP;0.0794;2021-03-19
peso meksykańskie;MXN;0.1872;2021-03-19
rand (Republika Południowej Afryki);ZAR;0.2595;2021-03-19
real (Brazylia);BRL;0.6876;2021-03-19
ringgit (Malezja);MYR;0.9384;2021-03-19
rubel rosyjski;RUB;0.0529;2021-03-19
rupia indonezyjska;IDR;0.0002;2021-03-19
rupia indyjska;INR;0.0533;2021-03-19
won południowokoreański;KRW;0.0034;2021-03-19
yuan renminbi (Chiny);CNY;0.5949;2021-03-19
SDR (MFW);XDR;0.7845;2021-03-19
